"","model","year","price","transmission","mileage","fuelType","tax","mpg","engineSize"
"1","5 Series",2014,11200,"Automatic",67068,"Diesel",125,57.6,2
"2","6 Series",2018,27000,"Automatic",14827,"Petrol",145,42.8,2
"3","5 Series",2016,16000,"Automatic",62794,"Diesel",160,51.4,3
"4","1 Series",2017,12750,"Automatic",26676,"Diesel",145,72.4,1.5
"5","7 Series",2014,14500,"Automatic",39554,"Diesel",160,50.4,3
"6","5 Series",2016,14900,"Automatic",35309,"Diesel",125,60.1,2
"7","5 Series",2017,16000,"Automatic",38538,"Diesel",125,60.1,2
"8","2 Series",2018,16250,"Manual",10401,"Petrol",145,52.3,1.5
"9","4 Series",2017,14250,"Manual",42668,"Diesel",30,62.8,2
"10","5 Series",2016,14250,"Automatic",36099,"Diesel",20,68.9,2
"11","X3",2017,15500,"Manual",74907,"Diesel",145,52.3,2
"12","1 Series",2017,11800,"Manual",29840,"Diesel",20,68.9,2
"13","X3",2016,15500,"Automatic",77823,"Diesel",125,54.3,2
"14","2 Series",2015,10500,"Manual",31469,"Diesel",20,68.9,2
"15","X3",2017,22000,"Automatic",19057,"Diesel",145,54.3,2
"16","3 Series",2017,16500,"Manual",16570,"Diesel",125,58.9,2
"17","3 Series",2017,16000,"Automatic",45456,"Diesel",30,64.2,2
"18","1 Series",2017,15500,"Automatic",22812,"Diesel",20,68.9,1.5
"19","4 Series",2014,14000,"Automatic",47348,"Diesel",125,60.1,2
"20","1 Series",2015,9700,"Automatic",75124,"Diesel",20,70.6,2
"21","3 Series",2015,12600,"Automatic",78957,"Diesel",30,62.8,2
"22","3 Series",2016,15100,"Automatic",29213,"Diesel",30,64.2,2
"23","1 Series",2016,9400,"Manual",44498,"Diesel",0,83.1,1.5
"24","1 Series",2016,14300,"Automatic",22461,"Diesel",20,67.3,2
"25","1 Series",2016,11200,"Manual",23005,"Petrol",125,53.3,1.5
"26","3 Series",2019,17800,"Automatic",22310,"Diesel",145,64.2,2
"27","3 Series",2016,14400,"Automatic",51994,"Diesel",30,62.8,2
"28","X5",2016,19750,"Automatic",96213,"Diesel",165,52.3,2
"29","X3",2015,17400,"Automatic",50316,"Diesel",200,47.9,3
"30","4 Series",2017,16800,"Automatic",44011,"Diesel",150,65.7,2
"31","X4",2017,23000,"Automatic",34960,"Diesel",150,54.3,2
"32","i3",2016,17100,"Automatic",25269,"Hybrid",0,NA,0.6
"33","1 Series",2017,20500,"Automatic",24029,"Petrol",145,39.8,3
"34","1 Series",2017,11900,"Manual",22920,"Petrol",145,53.3,1.5
"35","3 Series",2015,11500,"Manual",59634,"Diesel",125,61.4,2
"36","1 Series",2016,13500,"Manual",29226,"Diesel",30,62.8,2
"37","X1",2017,18900,"Automatic",33514,"Diesel",145,60.1,2
"38","1 Series",2018,14600,"Automatic",6522,"Petrol",145,37.2,1.5
"39","3 Series",2016,15800,"Manual",11231,"Petrol",145,47.9,2
"40","1 Series",2016,11400,"Manual",21591,"Petrol",125,53.3,1.5
"41","X3",2013,12000,"Automatic",79972,"Diesel",200,47.1,3
"42","1 Series",2018,17500,"Automatic",14037,"Petrol",145,54.3,1.5
"43","5 Series",2017,23500,"Automatic",25034,"Diesel",200,47.9,3
"44","X1",2016,16700,"Automatic",44478,"Diesel",125,60.1,2
"45","X3",2017,18000,"Automatic",74852,"Diesel",150,47.1,3
"46","4 Series",2016,15500,"Automatic",45856,"Diesel",30,65.7,2
"47","1 Series",2016,9200,"Manual",48858,"Diesel",0,83.1,1.5
"48","1 Series",2017,11200,"Manual",40399,"Diesel",145,68.9,2
"49","1 Series",2016,13200,"Manual",17393,"Diesel",30,65.7,2
"50","5 Series",2014,11000,"Automatic",84816,"Diesel",30,62.8,2
"51","3 Series",2017,18500,"Automatic",27139,"Diesel",160,51.4,3
"52","1 Series",2017,12750,"Automatic",91563,"Diesel",125,60.1,2
"53","3 Series",2014,14000,"Manual",32139,"Petrol",205,43.5,2
"54","X1",2017,14000,"Automatic",54120,"Diesel",30,65.7,2
"55","X1",2017,14000,"Manual",20925,"Diesel",150,68.9,2
"56","3 Series",2016,12750,"Manual",30521,"Diesel",20,68.9,2
"57","X1",2018,18000,"Manual",16066,"Petrol",150,51.4,1.5
"58","1 Series",2015,11100,"Manual",11524,"Diesel",0,83.1,1.5
"59","1 Series",2017,12700,"Manual",21809,"Petrol",145,53.3,1.5
"60","1 Series",2017,14500,"Automatic",27245,"Diesel",145,68.9,2
"61","3 Series",2013,12750,"Automatic",35736,"Diesel",125,58.9,2
"62","X1",2017,14100,"Automatic",55782,"Diesel",145,65.7,2
"63","1 Series",2016,10800,"Manual",26404,"Petrol",125,53.3,1.5
"64","1 Series",2016,13000,"Manual",26631,"Petrol",125,52.3,1.5
"65","1 Series",2016,12500,"Manual",24111,"Petrol",145,47.1,1.6
"66","3 Series",2017,13600,"Manual",22763,"Petrol",145,48.7,2
"67","3 Series",2016,12700,"Manual",17385,"Diesel",20,72.4,2
"68","5 Series",2016,15600,"Automatic",35474,"Diesel",125,60.1,2
"69","4 Series",2016,15250,"Manual",16584,"Diesel",30,62.8,2
"70","1 Series",2018,11700,"Manual",30273,"Diesel",145,53.3,1.5
"71","2 Series",2017,10900,"Manual",62021,"Diesel",145,65.7,2
"72","5 Series",2016,14400,"Automatic",51552,"Diesel",30,62.8,2
"73","1 Series",2016,11100,"Manual",29508,"Petrol",125,53.3,1.5
"74","1 Series",2017,11100,"Manual",30865,"Diesel",145,72.4,1.5
"75","5 Series",2014,12400,"Automatic",46356,"Diesel",30,62.8,2
"76","1 Series",2016,12800,"Manual",18343,"Diesel",20,70.6,1.5
"77","5 Series",2014,15000,"Automatic",13858,"Diesel",125,57.6,2
"78","2 Series",2017,12750,"Manual",33752,"Petrol",125,52.3,1.5
"79","X3",2016,21750,"Automatic",19083,"Diesel",150,54.3,2
"80","2 Series",2017,13900,"Automatic",46281,"Petrol",125,51.4,1.5
"81","X1",2017,14000,"Automatic",54183,"Diesel",150,65.7,2
"82","X1",2017,15200,"Automatic",36701,"Diesel",30,65.7,2
"83","3 Series",2017,13500,"Automatic",48082,"Petrol",150,51.4,2
"84","X1",2016,12150,"Manual",77482,"Diesel",20,68.9,2
"85","5 Series",2016,14000,"Automatic",39235,"Diesel",30,62.8,2
"86","3 Series",2018,19490,"Automatic",30703,"Diesel",145,57.6,2
"87","1 Series",2015,15499,"Semi-Auto",20000,"Diesel",125,60.1,2
"88","2 Series",2017,13000,"Semi-Auto",34971,"Diesel",150,72.4,1.5
"89","1 Series",2014,10600,"Semi-Auto",44900,"Diesel",30,64.2,2
"90","X3",2017,23000,"Semi-Auto",16945,"Diesel",150,54.3,2
"91","M4",2016,29998,"Semi-Auto",34209,"Petrol",300,34,3
"92","1 Series",2017,12498,"Manual",14138,"Diesel",20,72.4,1.5
